Requirement ID,Effective location,Group location,Ledger location,Links checked,Invalid links
KBDL-A11Y-015,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-016,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-017,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-018,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-019,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-020,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-021,"accessibility.md §16, §25, §39","accessibility.md §16, §25, §39","accessibility.md §16, §25, §39",accessibility.md#16-light-dark-forced-colors-and-high-contrast-behavior,None
KBDL-A11Y-022,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-023,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-024,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-025,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-026,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-027,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-028,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-029,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-030,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-031,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-032,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-033,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-034,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-035,"accessibility.md §16, §25, §39","accessibility.md §16, §25, §39","accessibility.md §16, §25, §39",accessibility.md#16-light-dark-forced-colors-and-high-contrast-behavior,None
KBDL-A11Y-036,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-037,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-038,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-039,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-A11Y-040,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md §6–§45,accessibility.md#3-wcag-22-level-aa-mapping,None
KBDL-CMP-001,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26",components-core.md#6-shared-component-contract,None
KBDL-CMP-002,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26",components-core.md#6-shared-component-contract,None
KBDL-CMP-003,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26",components-core.md#6-shared-component-contract,None
KBDL-CMP-004,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26",components-core.md#6-shared-component-contract,None
KBDL-CMP-005,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26",components-core.md#6-shared-component-contract,None
KBDL-CMP-006,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26",components-core.md#6-shared-component-contract,None
KBDL-CMP-007,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26",components-core.md#6-shared-component-contract,None
KBDL-CMP-008,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26",components-core.md#6-shared-component-contract,None
KBDL-CMP-009,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26",components-core.md#6-shared-component-contract,None
KBDL-CMP-010,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26",components-core.md#6-shared-component-contract,None
KBDL-CMP-011,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26",components-core.md#6-shared-component-contract,None
KBDL-CMP-012,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26",components-core.md#6-shared-component-contract,None
KBDL-CMP-013,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26",components-core.md#6-shared-component-contract,None
KBDL-CMP-014,components-core.md §20,components-core.md §20,components-core.md §20,components-core.md#20-action-components,None
KBDL-CMP-015,components-core.md §20,components-core.md §20,components-core.md §20,components-core.md#20-action-components,None
KBDL-CMP-016,components-core.md §20,components-core.md §20,components-core.md §20,components-core.md#20-action-components,None
KBDL-CMP-017,components-core.md §20,components-core.md §20,components-core.md §20,components-core.md#20-action-components,None
KBDL-CMP-018,components-core.md §20,components-core.md §20,components-core.md §20,components-core.md#20-action-components,None
KBDL-CMP-019,components-core.md §20,components-core.md §20,components-core.md §20,components-core.md#20-action-components,None
KBDL-CMP-020,components-core.md §20,components-core.md §20,components-core.md §20,components-core.md#20-action-components,None
KBDL-CMP-021,components-core.md §20,components-core.md §20,components-core.md §20,components-core.md#20-action-components,None
KBDL-CMP-022,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,components-core.md#21-form-architecture,None
KBDL-CMP-023,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,components-core.md#21-form-architecture,None
KBDL-CMP-024,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,components-core.md#21-form-architecture,None
KBDL-CMP-025,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,components-core.md#21-form-architecture,None
KBDL-CMP-026,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,components-core.md#21-form-architecture,None
KBDL-CMP-027,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,components-core.md#21-form-architecture,None
KBDL-CMP-028,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,components-core.md#21-form-architecture,None
KBDL-CMP-029,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,components-core.md#21-form-architecture,None
KBDL-CMP-030,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,components-core.md#21-form-architecture,None
KBDL-CMP-031,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,components-core.md#21-form-architecture,None
KBDL-CMP-032,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,components-core.md#21-form-architecture,None
KBDL-CMP-033,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,components-core.md#21-form-architecture,None
KBDL-CMP-034,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,components-core.md#21-form-architecture,None
KBDL-CMP-035,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,components-core.md#21-form-architecture,None
KBDL-CMP-036,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,components-core.md#21-form-architecture,None
KBDL-CMP-037,components-core.md §21–§23,components-core.md §21–§23,components-core.md §21–§23,components-core.md#21-form-architecture,None
KBDL-CMP-038,components-core.md §24,components-core.md §24,components-core.md §24,components-core.md#24-navigation-components,None
KBDL-CMP-039,components-core.md §24,components-core.md §24,components-core.md §24,components-core.md#24-navigation-components,None
KBDL-CMP-040,components-core.md §24,components-core.md §24,components-core.md §24,components-core.md#24-navigation-components,None
KBDL-CMP-041,components-core.md §24,components-core.md §24,components-core.md §24,components-core.md#24-navigation-components,None
KBDL-CMP-042,components-core.md §24,components-core.md §24,components-core.md §24,components-core.md#24-navigation-components,None
KBDL-CMP-043,components-core.md §24,components-core.md §24,components-core.md §24,components-core.md#24-navigation-components,None
KBDL-CMP-044,components-core.md §24,components-core.md §24,components-core.md §24,components-core.md#24-navigation-components,None
KBDL-CMP-045,components-core.md §24,components-core.md §24,components-core.md §24,components-core.md#24-navigation-components,None
KBDL-CMP-046,components-core.md §24,components-core.md §24,components-core.md §24,components-core.md#24-navigation-components,None
KBDL-CMP-047,components-core.md §24,components-core.md §24,components-core.md §24,components-core.md#24-navigation-components,None
KBDL-CMP-048,components-core.md §24,components-core.md §24,components-core.md §24,components-core.md#24-navigation-components,None
KBDL-CMP-049,components-core.md §24,components-core.md §24,components-core.md §24,components-core.md#24-navigation-components,None
KBDL-CMP-050,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26",components-core.md#6-shared-component-contract,None
KBDL-CMP-051,"components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26","components-core.md §5–§19, §25, §26",components-core.md#6-shared-component-contract,None
KBDL-CMP-052,"components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",components-system.md#5-kbdl-007-ownership-boundary,None
KBDL-CMP-053,"components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",components-system.md#5-kbdl-007-ownership-boundary,None
KBDL-CMP-054,"components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",components-system.md#5-kbdl-007-ownership-boundary,None
KBDL-CMP-055,"components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",components-system.md#5-kbdl-007-ownership-boundary,None
KBDL-CMP-056,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-057,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-058,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-059,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-060,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-061,components-system.md §13–§14,components-system.md §13–§14,components-system.md §13–§14,components-system.md#13-feedback-architecture,None
KBDL-CMP-062,"components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",components-system.md#5-kbdl-007-ownership-boundary,None
KBDL-CMP-063,"components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",components-system.md#15-system-state-architecture,None
KBDL-CMP-064,"components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",components-system.md#15-system-state-architecture,None
KBDL-CMP-065,"components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",components-system.md#5-kbdl-007-ownership-boundary,None
KBDL-CMP-066,"components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",components-system.md#15-system-state-architecture,None
KBDL-CMP-067,"components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",components-system.md#5-kbdl-007-ownership-boundary,None
KBDL-CMP-068,"components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",components-system.md#5-kbdl-007-ownership-boundary,None
KBDL-CMP-069,"components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",components-system.md#5-kbdl-007-ownership-boundary,None
KBDL-CMP-070,"components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9","components-system.md §5, §7, §8, §9",components-system.md#5-kbdl-007-ownership-boundary,None
KBDL-CMP-071,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-072,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-073,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-074,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-075,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-076,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-077,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-078,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-079,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-080,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-081,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-082,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-083,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-084,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-085,components-system.md §10–§12,components-system.md §10–§12,components-system.md §10–§12,components-system.md#10-overlay-architecture,None
KBDL-CMP-086,components-system.md §13–§14,components-system.md §13–§14,components-system.md §13–§14,components-system.md#13-feedback-architecture,None
KBDL-CMP-087,components-system.md §13–§14,components-system.md §13–§14,components-system.md §13–§14,components-system.md#13-feedback-architecture,None
KBDL-CMP-088,components-system.md §13–§14,components-system.md §13–§14,components-system.md §13–§14,components-system.md#13-feedback-architecture,None
KBDL-CMP-089,components-system.md §13–§14,components-system.md §13–§14,components-system.md §13–§14,components-system.md#13-feedback-architecture,None
KBDL-CMP-090,components-system.md §13–§14,components-system.md §13–§14,components-system.md §13–§14,components-system.md#13-feedback-architecture,None
KBDL-CMP-091,components-system.md §13–§14,components-system.md §13–§14,components-system.md §13–§14,components-system.md#13-feedback-architecture,None
KBDL-CMP-092,components-system.md §13–§14,components-system.md §13–§14,components-system.md §13–§14,components-system.md#13-feedback-architecture,None
KBDL-CMP-093,components-system.md §13–§14,components-system.md §13–§14,components-system.md §13–§14,components-system.md#13-feedback-architecture,None
KBDL-CMP-094,components-system.md §13–§14,components-system.md §13–§14,components-system.md §13–§14,components-system.md#13-feedback-architecture,None
KBDL-CMP-095,components-system.md §13–§14,components-system.md §13–§14,components-system.md §13–§14,components-system.md#13-feedback-architecture,None
KBDL-CMP-096,components-system.md §13–§14,components-system.md §13–§14,components-system.md §13–§14,components-system.md#13-feedback-architecture,None
KBDL-CMP-097,"components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",components-system.md#15-system-state-architecture,None
KBDL-CMP-098,components-system.md §13–§14,components-system.md §13–§14,components-system.md §13–§14,components-system.md#13-feedback-architecture,None
KBDL-CMP-099,"components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",components-system.md#15-system-state-architecture,None
KBDL-CMP-100,"components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",components-system.md#15-system-state-architecture,None
KBDL-CMP-101,"components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",components-system.md#15-system-state-architecture,None
KBDL-CMP-102,"components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",components-system.md#15-system-state-architecture,None
KBDL-CMP-103,"components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",components-system.md#15-system-state-architecture,None
KBDL-CMP-104,"components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",components-system.md#15-system-state-architecture,None
KBDL-CMP-105,"components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",components-system.md#15-system-state-architecture,None
KBDL-CMP-106,"components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",components-system.md#15-system-state-architecture,None
KBDL-CMP-107,"components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",components-system.md#15-system-state-architecture,None
KBDL-CMP-108,"components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",components-system.md#15-system-state-architecture,None
KBDL-CMP-109,"components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",components-system.md#15-system-state-architecture,None
KBDL-CMP-110,"components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",components-system.md#15-system-state-architecture,None
KBDL-CMP-111,"components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24","components-system.md §15–§19, §23, §24",components-system.md#15-system-state-architecture,None
KBDL-CUS-001,001 → §1; 002 → §5; 003 → §6; 004 → §12; 005 → §24; 006 → §26; 007 → §27; 008 → §7; 009 → §8; 010 → §11; 011 → §10 and §14; 012 → §15,001 → §1; 002 → §5; 003 → §6; 004 → §12; 005 → §24; 006 → §26; 007 → §27; 008 → §7; 009 → §8; 010 → §11; 011 → §10 and §14; 012 → §15,001 → §1; 002 → §5; 003 → §6; 004 → §12; 005 → §24; 006 → §26; 007 → §27; 008 → §7; 009 → §8; 010 → §11; 011 → §10 and §14; 012 → §15,customization.md#1-purpose-and-scope; customization.md#5-customization-authority-model; customization.md#6-locked-controlled-open-proposed-and-exception-classifications; customization.md#12-approval-and-escalation-paths; customization.md#24-content-and-open-brand-expression; customization.md#26-reusable-versus-project-local-customization; customization.md#27-conflict-handling-and-exceptions; customization.md#7-manual-customization-workflow; customization.md#8-customization-request-intake; customization.md#11-customization-record; customization.md#10-impact-assessment; customization.md#14-validation-and-evidence-planning; customization.md#15-review-expiry-change-and-rollback,None
KBDL-CUS-002,001 → §1; 002 → §5; 003 → §6; 004 → §12; 005 → §24; 006 → §26; 007 → §27; 008 → §7; 009 → §8; 010 → §11; 011 → §10 and §14; 012 → §15,001 → §1; 002 → §5; 003 → §6; 004 → §12; 005 → §24; 006 → §26; 007 → §27; 008 → §7; 009 → §8; 010 → §11; 011 → §10 and §14; 012 → §15,001 → §1; 002 → §5; 003 → §6; 004 → §12; 005 → §24; 006 → §26; 007 → §27; 008 → §7; 009 → §8; 010 → §11; 011 → §10 and §14; 012 → §15,customization.md#1-purpose-and-scope; customization.md#5-customization-authority-model; customization.md#6-locked-controlled-open-proposed-and-exception-classifications; customization.md#12-approval-and-escalation-paths; customization.md#24-content-and-open-brand-expression; customization.md#26-reusable-versus-project-local-customization; customization.md#27-conflict-handling-and-exceptions; customization.md#7-manual-customization-workflow; customization.md#8-customization-request-intake; customization.md#11-customization-record; customization.md#10-impact-assessment; customization.md#14-validation-and-evidence-planning; customization.md#15-review-expiry-change-and-rollback,None
KBDL-CUS-003,001 → §1; 002 → §5; 003 → §6; 004 → §12; 005 → §24; 006 → §26; 007 → §27; 008 → §7; 009 → §8; 010 → §11; 011 → §10 and §14; 012 → §15,001 → §1; 002 → §5; 003 → §6; 004 → §12; 005 → §24; 006 → §26; 007 → §27; 008 → §7; 009 → §8; 010 → §11; 011 → §10 and §14; 012 → §15,001 → §1; 002 → §5; 003 → §6; 004 → §12; 005 → §24; 006 → §26; 007 → §27; 008 → §7; 009 → §8; 010 → §11; 011 → §10 and §14; 012 → §15,customization.md#1-purpose-and-scope; customization.md#5-customization-authority-model; customization.md#6-locked-controlled-open-proposed-and-exception-classifications; customization.md#12-approval-and-escalation-paths; customization.md#24-content-and-open-brand-expression; customization.md#26-reusable-versus-project-local-customization; customization.md#27-conflict-handling-and-exceptions; customization.md#7-manual-customization-workflow; customization.md#8-customization-request-intake; customization.md#11-customization-record; customization.md#10-impact-assessment; customization.md#14-validation-and-evidence-planning; customization.md#15-review-expiry-change-and-rollback,None
KBDL-CUS-004,001 → §1; 002 → §5; 003 → §6; 004 → §12; 005 → §24; 006 → §26; 007 → §27; 008 → §7; 009 → §8; 010 → §11; 011 → §10 and §14; 012 → §15,001 → §1; 002 → §5; 003 → §6; 004 → §12; 005 → §24; 006 → §26; 007 → §27; 008 → §7; 009 → §8; 010 → §11; 011 → §10 and §14; 012 → §15,001 → §1; 002 → §5; 003 → §6; 004 → §12; 005 → §24; 006 → §26; 007 → §27; 008 → §7; 009 → §8; 010 → §11; 011 → §10 and §14; 012 → §15,customization.md#1-purpose-and-scope; customization.md#5-customization-authority-model; customization.md#6-locked-controlled-open-proposed-and-exception-classifications; customization.md#12-approval-and-escalation-paths; customization.md#24-content-and-open-brand-expression; customization.md#26-reusable-versus-project-local-customization; customization.md#27-conflict-handling-and-exceptions; customization.md#7-manual-customization-workflow; customization.md#8-customization-request-intake; customization.md#11-customization-record; customization.md#10-impact-assessment; customization.md#14-validation-and-evidence-planning; customization.md#15-review-expiry-change-and-rollback,None
KBDL-CUS-005,001 → §1; 002 → §5; 003 → §6; 004 → §12; 005 → §24; 006 → §26; 007 → §27; 008 → §7; 009 → §8; 010 → §11; 011 → §10 and §14; 012 → §15,001 → §1; 002 → §5; 003 → §6; 004 → §12; 005 → §24; 006 → §26; 007 → §27; 008 → §7; 009 → §8; 010 → §11; 011 → §10 and §14; 012 → §15,001 → §1; 002 → §5; 003 → §6; 004 → §12; 005 → §24; 006 → §26; 007 → §27; 008 → §7; 009 → §8; 010 → §11; 011 → §10 and §14; 012 → §15,customization.md#1-purpose-and-scope; customization.md#5-customization-authority-model; customization.md#6-locked-controlled-open-proposed-and-exception-classifications; customization.md#12-approval-and-escalation-paths; customization.md#24-content-and-open-brand-expression; customization.md#26-reusable-versus-project-local-customization; customization.md#27-conflict-handling-and-exceptions; customization.md#7-manual-customization-workflow; customization.md#8-customization-request-intake; customization.md#11-customization-record; customization.md#10-impact-assessment; customization.md#14-validation-and-evidence-planning; customization.md#15-review-expiry-change-and-rollback,None
KBDL-CUS-006,001 → §1; 002 → §5; 003 → §6; 004 → §12; 005 → §24; 006 → §26; 007 → §27; 008 → §7; 009 → §8; 010 → §11; 011 → §10 and §14; 012 → §15,001 → §1; 002 → §5; 003 → §6; 004 → §12; 005 → §24; 006 → §26; 007 → §27; 008 → §7; 009 → §8; 010 → §11; 011 → §10 and §14; 012 → §15,001 → §1; 002 → §5; 003 → §6; 004 → §12; 005 → §24; 006 → §26; 007 → §27; 008 → §7; 009 → §8; 010 → §11; 011 → §10 and §14; 012 → §15,customization.md#1-purpose-and-scope; customization.md#5-customization-authority-model; customization.md#6-locked-controlled-open-proposed-and-exception-classifications; customization.md#12-approval-and-escalation-paths; customization.md#24-content-and-open-brand-expression; customization.md#26-reusable-versus-project-local-customization; customization.md#27-conflict-handling-and-exceptions; customization.md#7-manual-customization-workflow; customization.md#8-customization-request-intake; customization.md#11-customization-record; customization.md#10-impact-assessment; customization.md#14-validation-and-evidence-planning; customization.md#15-review-expiry-change-and-rollback,None
